api_nro,tipo,institucion,localidad,provincia,domicilio,cp,telefono,email,lat,lon
374,DIS,Comisión para la Plena Participación e Inclusión de las Personas con Discapacidad - COPIDIS Área Gubernamental,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cerrito 268 9º piso,C1010AAF,(011) 5552-6500,copidis@buenosaires.gov.ar,-34.605387,-58.382147
375,DIS,"Fundación Argentina de Afasia ""Charlotte Schwarz"" - Representante No Gubernamental de la Ciudad Autónoma de Buenos Aires",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Colombres 229,C1177AAE,(011) 4957-1120 / 1792,fundafasia@intramed.net / fundafasiaag@intramed.net,-34.615033,-58.418591
376,DIS,Dirección de Discapacidad - Área Gubernamental Región Centro,Córdoba,Córdoba,Av. Vélez Sarfield 2311,X5016GCH,(0351) 4688506,arraigadamartinez@hotmail.com,-31.445168,-64.198267
377,DIS,ALPI. Representante No Gubernamental Región Centro,Villa María,Córdoba,Mendoza 2099,X5900ZAA,(0353) 4520386 / 4520354 / 4619612,rosacampora@hotmail.com,-32.414153,-63.257702
378,DIS,Consejo Provincial del Discapacitado - Área Gubernamental,Corrientes,Corrientes,Murcia 59 Barrio Apipé,W3404EUA,,consejodeldiscapacitado@yahoo.com.ar /raulmartinez315@yahoo.com.ar/ raulmartinez315@hotmail.com,-27.45674,-58.78701
379,DIS,Cotolengo Don Orione - Representante No Gubernamental Provincial,Corrientes,Corrientes,Chaco 1048,W3400BSH,(0379) 4493304, ray65_perez@hotmail.com / cottolengoitati@yahoo.com.ar,-27.468442,-58.847002
380,DIS,Instituto Provincial de Discapacidad - IPRODI - Área Gubernamental,Paraná,Entre Ríos,Gregoria Matorras de San Martín 861,E3100GYA,(0343) 4208280 / 1,flaviamena@entrerios.gov.ar / iprodi@entrerios.gov.ar,-31.74132,-60.511547
381,DIS,Fundación Ecuestre Los Ceibos - Representante No Gubernamental Provincial,Concordia,Entre Ríos,Av. Eva Perón entre Arraubarrena y Poenitz,E3200ZAA,(0345) 4252023,fundlosceibos@hotmail.com,-31.39207337,-58.01699638
382,DIS,Dirección de Personas con Discapacidad - Área Gubernamental,Formosa,Formosa,Fortín Yunka 50,P3600ZAA,(0370) 4426085 / 4436445,direcciondediscapacidad_fsa@yahoo.com.ar  ,-26.185201,-58.17537
383,DIS,Centro de Rehabilitación Elefante Azul de Palo Santo - Representante No Gubernamental Región NEA,Palo Santo,Formosa,Av. 2 de Abril 241,P3608ZAA,(0370) 4494501,rehabilitacionelefanteazul@hotmail.com / roviaroli@hotmail.com,-25.563326,-59.336418
384,DIS,Secretaria de Planificación en Políticas y Regulación Sanitaria - Área Gubernamental,San Salvador de Jujuy,Jujuy,Independencia 41,Y4600AFA,(0388) 4221278 / 4235466,mbellone@jujuy.gov.ar / bellonemar14@hotmail.com,-24.187252,-65.293438
385,DIS,Fundación Sentir - Representante No Gubernamental Región NOA,San Salvador de Jujuy,Jujuy,Independencia 1191,Y4600AFW,(0388) 4232420 / 4224944,aguedamolina@yahoo.com.ar / funsentir@hotmail.com,-24.1886051,-65.3093255
386,DIS,Dirección Provincial de Discapacidad - Área Gubernamental,Santa Rosa,La Pampa,Av. Roca 851,L6300BAI,(02954) 242121,discapacidad_lapampa@yahoo.com.ar,-36.621074,-64.30225
387,DIS,Fundación Acción - Representante No Gubernamental Provincial,Santa Rosa,La Pampa,José Luro 128,L6300DDD,(02954) 430288,ruca_cullen@hotmail.com,-36.626995,-64.304037
388,DIS,Coordinación de Atención Sanitaria al Discapacitado - Área Gubernamental,La Rioja,La Rioja,Av. Ortiz de Ocampo 1700,F5300DTQ,(0380) 4453755 / 4453727,discapacidadlarioja@hotmail.com/discapacidad@larioja.gov.ar,-29.4291684,-66.8602711
389,CIC,Centro Integrador Comunitario,General Alvear,Mendoza,Calle 5 y Granada Barrio Circunvalación,,,cicalvear@yahoo.com.ar,-33.0414787176,-68.8671112061
390,CIC,Centro Integrador Comunitario,Guaymallén,Mendoza,Calle Las Aguilas s/n y Buena Nueva,5519,,,-32.876533,-68.69165
391,CIC,Centro Integrador Comunitario,Junín,Mendoza,Calle Necochea y Entre Ríos,,,,-33.0943969,-68.4795491
392,CIC,Centro Integrador Comunitario,La Colonia,Mendoza,Av. 25 de Mayo s/n y Bandera de los Andes,,,,-33.4592291809,-67.5484085083
393,CIC,Centro Integrador Comunitario,Villa Antigua,Mendoza,Maestros Argentinos y Cacique Carocorto,,,,-33.4629526486,-67.546005249
394,CIC,Centro Integrador Comunitario,Borbollón,Mendoza,Casimiro Recuerdo s/n,,(0261) 4470988,,-32.849121,-68.81562
395,CIC,Centro Integrador Comunitario,Costa Araujo,Mendoza,Guardia y Publica s/n,,,,-32.7694702,-68.3871613
396,CIC,Centro Integrador Comunitario,Jocoli,Mendoza,Ruta 40 km. 41,,,,-32.582699,-68.683777
397,CIC,Centro Integrador Comunitario,Agrelo,Mendoza,Ruta 15 km. 28,,,,-33.1181641,-68.8854828
398,CIC,Centro Integrador Comunitario,Maipú,Mendoza,"Barrio 25 de Mayo, Rodeo del Medio",,,,-32.96722,-68.782661
399,CIC,Centro Integrador Comunitario,La Reducción,Mendoza,Calle S/N (a 182m. de calle Cuello),,,,-33.1823873845,-68.468170166
400,CIC,Centro Integrador Comunitario,Santa María de Oro,Mendoza,Calle Liniers esq. Rosario López,,,,-33.2000008,-68.433342
401,CIC,Centro Integrador Comunitario,Palmira,Mendoza,Calle Carril San Pedro y San Juan,,,,-33.0523868,-68.547157
402,CIC,Centro Integrador Comunitario,Las Catitas,Mendoza,Calle Alejo Mallea S/N,,,,-33.2995605,-68.0328369
403,CIC,Centro Integrador Comunitario,Tunuyán,Mendoza,Calle Argentina y Guisasola,M5560ZAA,,,-33.571167,-69.0132141
404,CIC,Centro Integrador Comunitario,Vista Flores,Mendoza,Calle Urquiza y 12 de Octubre,,,,-33.6346397,-69.1507111
405,CIC,Centro Integrador Comunitario,Dos Acequias,San Juan,Calle Pública S/N,,,,-31.55396348,-68.35830688
406,CIC,Centro Integrador Comunitario,Villa Krause,San Juan,Lemos y Bvrd. Sarmiento,,,,-31.5664692,-68.5327301
407,CIC,Centro Integrador Comunitario,Villa Gral. San Martín,San Juan,Calle La Laja y calle Nacional,,(0264) 4912046,,-31.439722,-68.520556
408,CIC,Centro Integrador Comunitario,Angaco,San Juan,Calle 21 de Febrero s/n (entre Calle Nacional y Olivera) - Barrio Presidente Perón,,(0264) 4972485,,-31.450586,-68.631836
409,CIC,Centro Integrador Comunitario,Chimbas,San Juan,"Calle Antonio Greco, entre Patagonia y Santa Cruz - Barrio Los Andes",,(0264) 4310766,,-31.4790376425,-68.5285949707
410,CIC,Centro Integrador Comunitario,Pocito,San Juan,"Manzana G, Picasso y Cuesta del Viento - Barrio Salvador Norte",,(0264) 4283275,cicpocitozn@hotmail.com,-31.6833305,-68.5833511
411,CIC,Centro Integrador Comunitario,Villa Angélica,San Juan,Calle Bahía Blanca y Paso de los Andes,,(0264) 154537002,,-31.533079,-68.414001
412,CIC,Centro Integrador Comunitario,Media Agua,San Juan,Jose Ares y Comodoro Rivadavia,,,,-31.9826679,-68.4288483
413,CIC,Centro Integrador Comunitario,Ullum,San Juan,Lujan S/N Esq. Ullum,,,,-31.5272732,-68.5214081
414,CIC,Centro Integrador Comunitario,Villa de Merlo,San Luis,Av. del Libertador s/n -  Barrio Barranca Colorada,,(02656) 472029,,-33.25,-66.3666687
415,CIC,Centro Integrador Comunitario,Avia Terai,Chaco,Calle 12 entre 9 y 11,H3706ZAA,(0364) 4491268,,-26.6866239,-60.7281064
416,CIC,Centro Integrador Comunitario,Basail,Chaco,Planta Urbana,H3516ZAA,(0362) 4490139,,-27.8548298,-59.2886581
417,CIC,Centro Integrador Comunitario,Campo Largo,Chaco,Yapeyu y Necochea,H3716ZAA,,,-26.8004145,-60.8391315
418,CIC,Centro Integrador Comunitario,Corzuela,Chaco,Salta y Catamarca- Ba. Republica Argentina,H3718ZAA,,,-26.9513855,-60.9703587
419,CIC,Centro Integrador Comunitario,Gancedo,Chaco,Bolivia y Chile,H3734ZAA,,,-27.488451,-61.674984
420,DIS,Asociación de Padres de Autistas - Representante No Gubernamental Provincial  ,La Rioja,La Rioja,Av. Facundo Quiroga 1050,F5300ISX,(0380) 154519823,camercado34@hotmail.com / info@apadealarioja.com.ar,-29.4128,-66.85598
421,CIC,Centro Integrador Comunitario,Jardín América,Misiones,Av. 9 de Julio,,,,-27.370548,-55.968304
422,CIC,Centro Integrador Comunitario,Leandro N. Alem,Misiones,Av. Picada Feltna y Calle S/N,,,,-27.604435,-55.3238487
423,CIC,Centro Integrador Comunitario,Oberá,Misiones,Salto Tobagan y Salto Estrecho,N3361ZAA,(03755) 402570,,-27.4815311,-55.1234932
424,CIC,Centro Integrador Comunitario,San Vicente,Misiones,Barrio San Roque,,,,-26.9952164,-54.4857788
425,CIC,Centro Integrador Comunitario,Barrio Centro,Misiones,"Docente Sampedrino y Santa Cruz, Barrio Cristo Resucitado",,,,-27.3839620301,-55.9506225586
426,CIC,Centro Integrador Comunitario,Barrio Oeste,Misiones,"Ruta Nacional Nº 14, entre calles Juan Domingo Perón y Eva Perón",,,,-27.330959,-55.053619
427,CIC,Centro Integrador Comunitario,Añatuya,Santiago del Estero,Av. Del Trabajo y Zapiola,,,,-28.46558,-62.833561
428,CIC,Centro Integrador Comunitario,San Carlos - La Banda,Santiago del Estero,Pueyrredón Prolongación e/ Miguel Moukarzel y Alfonso Maculus,G4300ZAA,,,-27.735836,-64.243752
429,CIC,Centro Integrador Comunitario,Barrio Palermo,Santiago del Estero,Calle Dr. Gorostiago entre Juan D. Perón y Pasaje Gancedo,,,,-29.501919,-63.694233
430,CIC,Centro Integrador Comunitario,San Fernando del Valle de Catamarca,Catamarca,Av. Manuel Navarro y Av. José Márquez - frente a Barrio 20 de Marzo,K4700ZAC,(0383) 154598259,,-28.4689906,-65.7789716
431,CIC,Centro Integrador Comunitario,Abra Pampa,Jujuy,"Ruta Nacional Nº 9, en la calle 59 entre Sgto. Gómez y Casabindo",Y4640ZAA,,,-22.724048,-65.6920505
432,CIC,Centro Integrador Comunitario,Calilegua,Jujuy,Belencito esq. Belgrano - Barrio Los Ceibos,,(03886) 430900,,-23.77093183,-64.7689533234
433,CIC,Centro Integrador Comunitario,La Quiaca,Jujuy,Ruta 5 salida a Yavi - Barrio Mariano Moreno,,,,-22.109229,-65.592443
434,CIC,Centro Integrador Comunitario,Barrio San José,Jujuy,Cerrillo esq. La Quiaca,,,,-24.264835,-65.211778
435,CIC,Centro Integrador Comunitario,Barrio La Posta - Perico,Jujuy,Av. José Hernández y Patricia Bulrrich,,(0388) 4918249,cic_gabiov@hotmail.com,-24.383225,-65.129991
436,CIC,Centro Integrador Comunitario,Che Guevara,Jujuy,Barrio Alto Comedero,,,,-24.1830891665,-65.2987861633
437,CIC,Centro Integrador Comunitario,Copacabana,Jujuy,Calle Pública S/N - Barrio Alto Comedero,,,,-24.185786,-65.299477
438,CIC,Centro Integrador Comunitario,El Galpón,Salta,Av. Islas Malvinas y Miguel Ragone,,(03876) 491300,,-25.3839092,-64.6325684
439,CIC,Centro Integrador Comunitario,Guachipas,Salta,Ruta Prov. N° 6 y Pasaje S/N - Barrio Inmaculada Concepción,,,,-25.5166702,-65.5333405
440,CIC,Centro Integrador Comunitario,Asunción,Salta,Barrio Asunción Mza. 22,,,,-24.7617965172,-65.4125976563
441,CIC,Centro Integrador Comunitario,Barrio Constitución,Salta,Barrio Constitución JM Estrada s/n,,,,-24.782932,-65.412155
442,CIC,Centro Integrador Comunitario,Barrio Santa Cecilia,Salta,Barrio Sta Cecilia Juan Darienzo y Martín Fierro,,,,-24.830389,-65.397769
443,CIC,Centro Integrador Comunitario,Barrio Solidaridad,Salta,Barrio Solidaridad Mza 414 e/ la 3a y 4a etapa fte. Escuela Nueva,,,,-24.7792536606,-65.4132843018
444,CIC,Centro Integrador Comunitario,La Unión,Salta,Barrio La Unión Mza 351 lote 1 J Miró y Canatores del Alba,,,,-23.9144897,-63.1933594
445,CIC,Centro Integrador Comunitario,B° Justo Juez,Salta,Padre Marsenaro esq. Ayacucho,,,,-24.216,-66.322851
446,CIC,Centro Integrador Comunitario,Quimilí,Santiago del Estero,Diego de Rojas Prolongación y Antártida Argentina Barrio Calazanz,,,cic_quimili@hotmail.com,-27.644184,-62.415565
447,CIC,Centro Integrador Comunitario,Lastenias,Tucumán,"Ruta Pcial. Nª302 km. 23,5",,,,-26.8384697236,-65.1647186279
448,CIC,Centro Integrador Comunitario,Concepción,Tucumán,H. Yrigoyen y Ernesto Padilla,T4146ZAA,,,-27.3415661,-65.5946655
449,DIS, Consejo Provincial de las Personas con Discapacidad - Área Gubernamental Región Nuevo Cuyo,Mendoza,Mendoza,Agustín Delgado 218,M5502AOB,(0261) 4254780,gejarque@mendoza.gov.ar / ejarque78@gmail.com,-32.892102,-68.842492
450,DIS,ADIMOLU - Representante No Gubernamental REGION NUEVO CUYO,Luján de Cuyo,Mendoza,Valcanare y Guevara,M5507ZAA,(0261) 4987460,adimolu@gmail.com,-33.03029,-68.880823
451,DIS, Consejo Provincial de Discapacidad - Área Gubernamental,Posadas,Misiones,Av. Santa Catalina 1778 5º A,N3300PLS,(0376) 4444123 / 4447898,marcelalvez66@hotmail.com / coprodis@hotmail.com,-27.372301,-55.898437
452,DIS,A.M.A.R. - Representante No Gubernamental Región NEA,Posadas,Misiones,"Escuela N° 250 Vicente Cabral"" Fransisco de Aro frente a la Vialidad",N3300ZAA,(0376) 4425939,takisonoda@hotmail.com/   ,-27.386781,-55.900398
453,DIS,Junta Coordinadora para la At. Integral del Discapacitado - JUCAID,Neuquén,Neuquén,Salta 265,Q8300AEE,(0299) 4495552 / 4494718 / 4495560,jucaid@neuquen.gov.ar,-38.952289,-68.066223
454,DIS,Consejo Provincial para las Personas con Discapacidad - Área Gubernamental,Viedma,Río Negro,Laprida 226,R8500AGF,(02920) 421833,juanpablobenito1@live.com.ar,-40.808967,-62.995176
455,DIS,Asociación CREARTE - Representante No Gubernamental REGION PATAGONICA,San Carlos de Bariloche,Río Negro,Quaglia 540,R8400GMJ,(0294) 4422118,chicho@cre-arte.org.ar / crearte@cre-arte.org.ar,-41.137311,-71.309124
456,DIS,Dirección General de Políticas Sociales para Personas con Discapacidad - Área Gubernamental,Salta,Salta,Jujuy 402,A4404FDJ,(0387) 4314886,pao_pons@hotmail.com,-24.794336,-65.4170177
457,DIS,Dirección para Personas con Discapacidad - Área Gubernamental,San Juan,San Juan,Mendoza 398 Esq. Santa Fé,J5402GUH,(0264) 4216606 / 09,vivianaelda@hotmail.com,-31.527273,-68.521408
458,DIS,Asoc. Para la recuperación e Integración de la Persona con Sindrome de Down ARID - Representante No Gubernamental REGION NUEVO CUYO,San Juan,San Juan,Estados Unidos 645 - Sur,J5402EZM,(0264) 4224666 / 4273157,arid@infovia.com.ar / aridsanjuan@gmail.com,-31.54094,-68.511794
459,DIS,Subprograma de capacidades Diferentes - Área Gubernamental,San Luis,San Luis, Ayacucho 945 PBº - Edificio Administrativo - E/ San Martín y Rivadavia ,D5700IVS,(0266) 4430776,capacidadesdiferentes@sanluis.gov.ar,-33.301404,-66.329311
460,DIS,Dirección de Discapacidad - Área Gubernamental,Río Gallegos,Santa Cruz,Salta 75,Z9400GSA,(02966) 426173, malenarod62@hotmail.com,-51.625702,-69.20904
461,DIS,Subsecretaria de Inclusión para Personas con Discapacidad - Área Gubernamental,Santa Fé,Santa Fé,Dr. Zaballa 3361 2ºpiso - Ala Norte,3000,(0342) 4572481 / 83 / 84 / 85,troccolisilvia@gmail.com / discapacidad@santafe.gov.ar / gabibruno@santafe.gov.ar / aciarlantini@santafe.gov.ar,-31.634398,-60.717094
462,DIS,Centro de Apoyo al Discapacitado CADI - Representante No Gubernamental Región Centro,San Lorenzo,Santa Fé,República del Paraguay y Ayouma,H3545ZAA,(03476) 420102 / 421256,cadisl@arnet.com.ar,-32.75024,-60.732422
463,DIS,Dirección Provincial de Discapacidad - Área Gubernamental,Santiago del Estero,Santiago del Estero,Güemes y Misiones,G4200ZAA,(0385) 4242207,direccion.disc.sgo@gmail.com / discapacidadsgo@hotmail.com,-27.78442,-64.267281
464,DIS,ASAIM - Representante No Gubernamental Región NOA,La Banda,Santiago del Estero,Pueyrredón 181,G4300ZAA,(0385) 155939011,asim.edu.esp@hotmail.com,-27.736727,-64.241309
465,DIS,Direccion de Discapacidad - Área Gubernamental,Ushuaia,Tierra del Fuego,Onachaga 146,V9410ZAA,(02901) 437431,monicafrola@hotmail.com,-54.791679,-68.229248
466,DIS,Dirección de Discapacidad - Área Gubernamental,San Miguel de Tucumán,Tucumán,San Martín 510,T4000CVL,(0381) 4844000 (interno 348) / Fax: interno 505,jorge.werblud@yahoo.com.ar,-26.82977,-65.204398
467,DIS,Fundación Un Lugar en el Mundo - Representante No Gubernamental Provincial,Yerba Buena,Tucumán,Frías Silva 840 - Yerba Buena,T4172XAS,(0381) 425-5135 / 4353710,unlugarenelmundo@hotmail.com,-26.808285,-65.21759
468,CIC,Centro Integrador Comunitario,Volcán,Jujuy,Calle s/n,,,,-24.10664718,-65.23681641
469,CIC,Centro Integrador Comunitario,Las Lajitas,Salta,Mendoza esquina Esqui,,,,-24.7253704,-64.1959534
470,CDR,Centro de Referencia,Resistencia,Chaco,Hipolito Yrigoyen 337,H3500ADG,(0362) 4487740 / 4449225 / 4443458,chacocdr@gmail.com,-27.45333206,-58.98250579
471,CDR,Centro de Referencia,Corrientes,Corrientes,Chaco 748 ,W3400BSB,(0379) 4466797 int 30/ 4466008 / 4466801 fax / 4460879 int 30 (fax pensiones),cdrcorrientes@hotmail.com,-27.465289,-58.846636
472,CDR,Centro de Referencia,Posadas,Misiones,Santa Fe 2195 1ºpiso,N3300HZM,(0376) 4448730 / 4448728,mdscdrmisiones@gmail.com,-27.363741,-55.897514
473,CDR,Centro de Referencia,Formosa,Formosa,Paraguay 656,P3600ZAA,(0370) 4422179 /  4438646 / int 21 (fax),mds.cdr.formosa@hotmail.com,-26.1915712,-58.1686263
474,CDR,Centro de Referencia,Salta,Salta,Benito Graña 273,A4400ZAA,(0387) 4212927 / 4220976 / 4223940,cdrsalta@yahoo.com.ar,-24.799399,-65.399709
475,CDR,Centro de Referencia,Tucumán,Tucumán,San Martín 1900 y Manuel Alberti,4000,(0381) 4320462 / 4328682,cdr.tuc@gmail.com,-26.824873,-65.226989
476,CDR,Centro de Referencia,Jujuy,Jujuy,Sánchez de Bustamante 134,Y4600DVD,(0388) 4225342 / 4236105,cdr_jujuy@hotmail.com,-24.202487,-65.293012
477,CDR,Centro de Referencia,Santiago del Estero,Santiago del Estero,Pasaje Lorenzo Lugones 71 y Av. Roca,G4200ZAA,(0385) 4226987 / 4222609 /  4223478 (fax),coordinacion_cdr@hotmail.com,-27.786182,-64.255203
478,CDR,Centro de Referencia,San Luis,San Luis,Balcarce 735,D5700JGE,(0266) 4446750 / 4439049 / 4441893,cdr-mds-sanluis@hotmail.com,-33.3083131,-66.3312082
479,CDR,Centro de Referencia,San Juan,San Juan,9 de julio 168 Este,J5402AMD,(0264) 4273402 / 4277138 / 4217468,cdrsanjuan@hotmail.com.ar,-31.542476,-68.52301
481,CDR,Centro de Referencia,Mendoza,Mendoza,Necochea 415,M5500GLI,(0261) 4230998 / 4230964 / 4308775,cdrmendoza@yahoo.com.ar,-32.894213,-68.820949
482,CDR,Centro de Referencia,La Rioja,La Rioja,San Martín 78,F5300DHB,(0380) 4429619 / 4434227,cdrlarioja@arnetbiz.com.ar,-29.4147728,-66.8576812
483,CDR,Centro de Referencia,Córdoba,Córdoba,Fragueiro 371,X5000KRG,(0351) 4220542 / 4271628,centrodereferenciacordoba@yahoo.com.ar,-31.409015,-64.19249
484,CDR,Centro de Referencia,Paraná,Entre Ríos,Av. Ramírez 2537,E3100IQK,(0343) 4245883 / 4248740 / 4344382,centrodereferencia.entrerios@gmail.com,-31.7418499,-60.5179757
485,CDR,Centro de Referencia,Santa Fé,Santa Fé,27 de Febrero 2161/3,S3000GAC,(0342) 4560993 / 4566264,cdrsantafenorte@gmail.com,-31.652283,-60.705602
486,CDR,Centro de Referencia,Rosario,Santa Fé,San Lorenzo 1045,S2000ZAC,(0341) 4495963 / 4473579 / 4489743 / 4473580 (fax),cdr.rosario@hotmail.com,-32.944077,-60.638373
487,CDR,Centro de Referencia,La Plata,Buenos Aires,Calle 12 Nº 565,B1900BDO,(0221) 4227984 / 4240812,crlaplata@yahoo.com.ar,-34.914759,-57.961201
488,CDR,Centro de Referencia,Mar del Plata,Buenos Aires,Rivadavia 3576,B7600GOD,(0223) 4944223 / 4942021 / 4910874,cdrmardelplata@hotmail.com,-37.9952458,-57.5573673
489,CDR,Centro de Referencia,San Nicolás,Buenos Aires,9 De Julio 75,B2900HGA,(0336) 4426839 / 4426878,cda.sannicolas@gmail.com,-33.3310332,-60.2203457
490,CDR,Centro de Referencia,Bahía Blanca,Buenos Aires,O´ Higgins 585,B8000IVR,(0291) 4557843 / 4532127,cdrbahiablanca@yahoo.com.ar,-38.7251594,-62.2726667
491,IM,Asociación Civil G TRES,Rojas,Buenos Aires,Av. Moreno 554,B2705AZS,(02475) 462404,ac.gtres@gmail.com,-34.200439,-60.732422
492,IM,Asociación Civil Organización Amigos Solidarios - ACOAS,Lomas de Zamora,Buenos Aires,Pintos  236,B1832HLF,(011) 4231-5079,a.c.o.a.s@hotmail.com,-34.7532021,-58.392889
493,IM,Asociación Civil Proyección Necochense,Claraz,Buenos Aires,Calle 78 Nº 4332,B7005XAA,(02262) 440220,nelson75m@hotmail.com,-37.8900948,-59.2902184
494,IM,Asociación Civil Sol de Mayo,Mar del Plata,Buenos Aires,Córdoba 1461,B7600DVE,(0223) 4919743,ongsoldemayo@yahoo.com.ar,-37.99744,-57.5452924
495,IM,Asociación Civil y Biblioteca Popular NUESTRO BARRIO,Lomas de Zamora,Buenos Aires,Av. Juan XXIII 578,B1832LEA,(011) 42834281,nuestro_barrio@yahoo.com.ar,-34.7702797,-58.4418
496,IM,Asociación Mutual Grupo Buenos Aires,Lomas de Zamora,Buenos Aires,Mariano Boedo 528 E,B1832HRL,(011) 4292-0212,grupobsas@hotmail.com,-34.758983,-58.4040852
497,IM,Asociación Vecinal de Fomento Barrio Sur,Necochea,Buenos Aires,Calle 77 Nº 1865,B7632GDY,(02262) 438187,maryccollado@hotmail.com,-38.5669734,-58.7409825
498,IM,Caritas Merlo Moreno,Merlo,Buenos Aires,9 de Julio  S/N,B1716ZAA,(0220) 4831402,beatrizmic@yahoo.com.ar,-34.676458,-58.712612
499,IM,Centro Cultural y Biblioteca Popular del Barrio,Temperley,Buenos Aires,Luis Sáenz Peña 1928,B1834ZAB,(011) 4264-0989,bibdelbarrio@yahoo.com.ar,-34.758233,-58.375969
500,IM,Ciudadanía e Integración Social,San Nicolás de los Arroyos,Buenos Aires,Maipú 108,B2900KMD,,defelipejf@yahoo.com.ar,-33.3359978,-60.2179545
501,IM,Fundación CAMINO,Villa Martelli,Buenos Aires,Av. Laprida  4914,B1603ZAA,(011) 4709-7640,fundacioncamino2006@yahoo.com.ar,-34.5537593,-58.5167977
502,IM,Fundación CREAR DESDE LA EDUCACIÓN POPULAR,Abasto,Buenos Aires,Calle 6 Nº 1528 entre 63 y 64,B1904CKF,(0221) 4218566 / 4830972,info@crearnet.org.ar,-35.08284,-58.1388397
503,IM,Fundación DEL VISO,Del Viso,Buenos Aires,J.L. Borges 2297,C1425FFE,(011) 4832-7996 / 1762 / (02320) 470496,"gmerediz@fundaciondelviso.org.ar, carmenvalvona@gmail.com",-34.4476799,-58.8052387
504,IM,Fundación ORGANIZACIÓN COMUNITARIA Buenos Aires,Lavallol,Buenos Aires,Rivera 420,B1836CUH,,trabajo@fundacionfoc.org.ar,-34.788963,-58.425465
505,IM,Fundación para la Educación y el Trabajo,Tandil,Buenos Aires,Chacabuco  1031,B7000ZAA,(0249) 4440283,ayudastandil@yahoo.com.ar,-37.3222197,-59.1424317
506,IM,Fundación Pbro. José Mario Pantaleo,González Catán,Buenos Aires,Pantaleo 201,B1759HHT,(02202) 430306 / 24000,marisaparreira@padremario.com,-34.777928,-58.631305
507,IM,Obispado Lomas de Zamora,Lomas de Zamora,Buenos Aires,Rivera 279,B1832IAE,(011) 4244-0353,bancopopularlz@hotmail.com,-34.7559097,-58.3997351
508,IM,Sociedad Cosmopolita Socorros Mutuos,Belén de Escobar,Buenos Aires,Mitre  787,B1625GDG,(011) 4585-4878,guillefer5@yahoo.com.ar,-34.3459164082,-58.7971973419
509,IM,Sociedad de Fomento Balneario Las Toninas,Las Toninas,Buenos Aires,Av. 7 Nº 1302,B7106AXN,(02246) 431371,juan.aranguez@gmail.com,-36.4906711,-56.6963773
510,IM,Sociedad de Fomento Doce de Octubre,San Martín,Buenos Aires,Industria  5036,B1650ZAB,(011) 4738-5675 / 7985,davidnalvarez@hotmail.com,-34.566141,-58.562796
511,IM,UCIP,Mar del Plata,Buenos Aires,Jujuy 1731 ,B7600DCI,(0223) 4997777 /  499-7788,secretaria@ucip.org.ar,-37.9953171868,-57.5549268723
512,IM,Asociación Civil DE LA NADA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Juncal 1151,C1062ABK,(02323) 421034,delanada@coopenetlujan.com.ar,-34.5928279,-58.3836519
513,IM,Asociación para el Desarrollo Social,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Armenia 2380 4B,C1425FBH,(011) 5240-2415,lisandro.reynoso@gmail.com,-34.5846413,-58.4199096
514,IM,Federación de Asociaciones Centro Educativo para la producción T,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Díaz Vélez 5215 B,C1405DCH,(011) 4983-7973,facept@facept.org.ar,-34.6087791,-58.4403194
515,IM,La Banca Social,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Pueyrredón 1200,C1118AAO,,jeeee@hotmail.com,-34.597537,-58.403386
516,IM,MANOS UNIDAS,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,,1000,,administracion@mutualsentimiento.org.ar,-34.6084175,-58.3731613
517,IM,Mutual Sentimiento,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Av. Federico Lacroze 4181,C1427EDG,(011) 4552-2257,administracion@mutualsentimiento.org.ar,-34.586798,-58.4550288
518,IM,MYRAR,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Bartolomé Mitre  2815 4º Piso - Oficina B,C1201AAA,(011) 4861-5435,fundacionmyrarmail@gmail.com,-34.609342,-58.408439
519,IM,Provivienda Social,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Roca 667,C1067ABB,(011) 4667-2794,raul.zavalia@fpvs.org,-34.608226,-58.37284
520,IM,SEDECA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Larrea 420 11,C1030AAJ,(011) 4951-1459 / 1459,sedecams@fibertel.com.ar,-34.6044674,-58.4021749
521,IM,Asociación Civil ACD,La Calera,Córdoba,Hipólito Hirigoyen 78,X5151ZAA,(03543) 156561586,acd_cordoba@yahoo.com.ar,-31.396629,-64.459976
522,IM,Asociación Civil ALAS DE CÓRDOBA,Córdoba,Córdoba,Mariano Fragueiro 422,X5000KRJ,(0351) 4259224,alasdecordoba@yahoo.com.ar,-31.4081541028,-64.1919994354
523,IM,Asociación Civil CENCERRO,Capilla del Monte,Córdoba,Zanni 385,X5184ZAA,(03548) 481231 / 15590993,m_eva75@hotmail.com / casajovencapilladelmonte@yahoo.com.ar,-30.854811,-64.525749
