provincia,denominacion,localidad,direccion,horario_atencion,telefono
Buenos Aires ,Junta Evaluadora Hosp Sor María Ludovica  (La Plata)  - 2 º instancia - 99/2011,Hosp Sor María Ludovica  (La Plata)  - 2 º instancia - 99/2011,"Instituto de Investigaciones Pediatricas Dr. Vitteri (IDIP)
Calle 14 entre 65 y 66 2º piso consultorio 11","Viernes de 8,30 a 13 hs",Tel: 0221-4535901 - 06
Buenos Aires ,Junta Evaluadora Hosp Rodolfo Rossi  (La Plata)  - 1era instancia Res 99/2011,Hosp Rodolfo Rossi  (La Plata)  - 1era instancia Res 99/2011,"Calle 37 nº 183, La Plata (entre 116 y 117)",,0221-4828821/ al 24
Buenos Aires ,Junta Evaluadora Presidente Perón,Presidente Perón,"Unidad Sanitaria Eva Duarte de Perón / Jauretche y calle 12, Guernica",Lunes de 13 a 16 hs.,Tel. (02224) 473500 int. 278
Buenos Aires ,Junta Evaluadora Municipalidad de S.M. del Monte,Municipalidad de S.M. del Monte,Subsecretaria de Salud - Rojas 787,,Tel: 02271- 407606 /  Htal. Zenon Videla da la Dorna     Tel. 02271-443605
Buenos Aires ,Junta Evaluadora Cañuelas,Cañuelas,Hosp Marzetti - Rawson 450,Hacen Junta 1 vez x mes Ultimo Miercoles del mes!,Tel: 02226-421626 / 430555
Buenos Aires ,Junta Evaluadora Brandsen,Brandsen,Secretaría de Salud y Desarrollo Humano - Saenz Peña 704 y San Martin,Martes de 13:30 a 16:30 hs.,Tel. 02223-443400
Buenos Aires ,Junta Evaluadora Gral Belgrano,Gral Belgrano,Hospital Juan E de la Fuente - Av. España N° 325,,02243-452148/259
Buenos Aires ,Junta Evaluadora Castelli,Castelli,Hosp Dr Ramón Carrillo - San Martín Nº 17,Sábados cada dos meses,Tel: 02245-480223
Buenos Aires ,Junta Evaluadora Hospital Interzonal Gral de Agudos San Roque de Gonnet - 1era instancia - Dispo 102/11,Hospital Interzonal Gral de Agudos San Roque de Gonnet - 1era instancia - Dispo 102/11,Calle 508 entre 18 y 19 - La Plata,Miércoles y viernes de 13 a 14.30 hs,tel: 0221-4840294 -
Buenos Aires ,Junta Evaluadora Hosp Alejandro Korn (Melchor Romero) - 1º instancia Res 99/2011,Hosp Alejandro Korn (Melchor Romero) - 1º instancia Res 99/2011,Calle 175 y 520 - Melchor Romero,"Funciona Lunes y Jueves de 8,30 a 12 hs Visceral, Motora y Visual / martes y miercoles 9 a 11 Junta Psquiatrica",Tel: 0221 4780181/2 Int 360
Buenos Aires ,Junta Evaluadora Hospital Sbarra (La Plata) - 1º instancia Res 99/2011,Hospital Sbarra (La Plata) - 1º instancia Res 99/2011,Calle 8 nº 1689,,Tel: 0221 - 4573497
Buenos Aires ,Junta Evaluadora Hospital San Juan de Dios - La Plata 1º  Instancia Res 99/2011,Hospital San Juan de Dios - La Plata 1º  Instancia Res 99/2011,Hospital San Juan de Dios - Servicio de Consulta Ambulatoria -Calle 27. Entre 70 y 71,"Martes, Miercoles y jueves  de 09 a 12 hs.",Tel:0221-  4575454 int 133
Buenos Aires ,Junta Evaluadora Municipalidad de Lezama,Municipalidad de Lezama,Hosp Francisco Quijano - Desvío Ruta 57 s/n,2º y 4º jueves de cada mes 9:30 a 13 hs.,Tel: 02242-432819 / 02242- 432149
Buenos Aires ,Junta Evaluadora de HIGA San Martin.  La Plata,de HIGA San Martin.  La Plata,"Hospital HIGA San Martín, Servicio de Medicina Física y Rehabilitación - Calle 69 y 116","Martes, Mierc. Y Jueves de 08 a 12 hs.",0221-4644338//4211190
Buenos Aires ,Junta Evaluadora  Hospital Municipal de Chascomus,Hospital Municipal de Chascomus,Hospital Municipal (107) - Avenida Lastra e Hipólito Yrigoyen,1º y 3º Jueves de cada mes   9:30 a 14 hs,(02241) 431330/(02241) 431339
Buenos Aires ,Junta Evaluadora Berisso,Berisso,"Municiplidad de Berisso, Hospital Larrain - Calle 5 Nº 4435",,Tel: 0221-4611101
Buenos Aires ,Junta Evaluadora Pila,Pila,Hospital Municipal de Pila - Calle 4 esquina 11,,2242498230 / 02242-49-8278
Buenos Aires ,Junta Evaluadora Hospital  Dr. Ricardo Gutierrez (La Plata) 1era instancia. Res 99/2011,Hospital  Dr. Ricardo Gutierrez (La Plata) 1era instancia. Res 99/2011,Hospital Dr. Ricardo Gutierrez - Diagonal 114 39 y 40,,0221-4830171/75
Buenos Aires ,Junta Evaluadora San Vicente,San Vicente,Hospital General de Agudos Dr. Ramon Carrillo - Pascual Santoro esq. Mattheu,Junta evaluadora: dias jueves desde las 14hs,(02225) 481415/482081/483640
Buenos Aires ,Junta Evaluadora San justo- La Matanza,San justo- La Matanza,HOSPITAL PAROISSIEN - Ruta Nac. N° 3 y Km.21.Isidro Casanova,Lun. A Vie. De 8 a 14.30 Hs.,4486-3131 tel  Reg XII
Buenos Aires ,Region Sanitaria XII Descentralizada,Region Sanitaria XII Descentralizada,Juan Manuel de Rosas 17798 - Gonzalez Catan,,Tel. 02202-419035
Buenos Aires ,Region Sanitaria XII Descentralizada,Region Sanitaria XII Descentralizada,Rivadavia 13518- Ramos Mejia,,
Mendoza,Junta Central Evaluadora de Personas (Nro. de junta 198),Junta Central Evaluadora de Personas (Nro. de junta 198),Dirección de Asistencia Integral a la Persona con Discapacidad de la provincia de Mendoza: Sede Central - España 922 (5500) Cdad de Mendoza -,Lu 8:30 a 12:30 hs,(0261) 425 4780
Mendoza,Junta Evaluadora Luján de Cuyo (Nro. de junta 200),Luján de Cuyo (Nro. de junta 200),Taboada y Vargas,Lunes a Viernes de 08 a 12,tel: 4987-460 / 4986-922  Fax 9910
Mendoza,Junta Evaluadora San Martín (Nro. de junta 203),San Martín (Nro. de junta 203),Almirante Brown y España,Lunes a Viernes de 08 a 12,tel: 263 / 40362 / 420074 int 169 o 161
Mendoza,Junta Evaluadora Malargüe (Nro. de junta 205),Malargüe (Nro. de junta 205),Vacunación Central,Lunes a Viernes de 08 a 12,Tel: 02627 / 470505 int 202
Mendoza,Junta Evaluadora Tunuyán (Nro. de junta 206),Tunuyán (Nro. de junta 206),Hospital Regional Dr. A. Scaravelli,Lunes a Viernes de 08 a 12,tel: 02622 / 411963
Mendoza,Junta Evaluadora Tupungato (Nro. de junta 201),Tupungato (Nro. de junta 201),Almirante Brown 958,Lunes a Viernes de 08 a 12,Tel: 02622 / 489153
Mendoza,Junta Evaluadora Gral. Alvear (Nro. de junta 207),Gral. Alvear (Nro. de junta 207),San Rafael Nº 175,Lunes a Viernes de 08 a 12,tel: 02625-425861
Mendoza,Junta Evaluadora San Rafael (Nro. de junta 208),San Rafael (Nro. de junta 208),Córdoba 156,Lunes a Viernes de 08 a 12,tel: 260 / 449279 / 449317
Mendoza,Junta Evaluadora Lavalle (Nro. de junta 209),Lavalle (Nro. de junta 209),Área de Salud del Municipio,Lunes a Viernes de 08 a 12,tel: 494-1167 / 494-1617
Mendoza,Junta Evaluadora Guaymallen (Nro. de junta 204),Guaymallen (Nro. de junta 204),Mitre y Godoy Cruz,Lunes a Viernes de 08 a 12,tel: 445-3566 int 110
Mendoza,Junta Evaluadora Maipú (Nro. de junta 202),Maipú (Nro. de junta 202),Barcala 155 entre Pezcara y Gral Gutiérrez,"Lunes, Martes, Jueves y Viernes de 8 a 12",tel: 497-4285
Mendoza,Junta Evaluadora Junín (Nro. de junta 210),Junín (Nro. de junta 210),Acción Socil del Municipio / San Martin Nº 15,Lunes a Viernes de 08 a 12,tel: 02623-492680  int 141-148
Mendoza,Junta Evaluadora Santa Rosa (Nro. de junta 211),Santa Rosa (Nro. de junta 211),Julio A. Roca y Libertad,Lunes a Viernes de 08 a 12,
Mendoza,Junta Evaluadora Rivadavia (Nro. de junta 212),Rivadavia (Nro. de junta 212),Área Social del Municipio  tel: 02623-444544 int 223,,tel: 02623-444544 int 223
Mendoza,Junta Evaluadora Las Heras  (Nro. de junta 232),Las Heras  (Nro. de junta 232),San Miguel 1457,Lunes a Viernes de 08 a 12,tel: 437-8126 / 430-4000 int267
Mendoza,Junta Evaluadora La Paz (Nro. de junta 294),La Paz (Nro. de junta 294),"25 de mayo esquina Bandera de los Andes, La Paz",,
Mendoza,Junta Evaluadora Municipalidad de Godoy Cruz (Nro. de junta ),Municipalidad de Godoy Cruz (Nro. de junta ),,,Tel. 0361 4283680
Mendoza,Junta Evaluadora Municipalidad de Mendoza  (Capital),Municipalidad de Mendoza  (Capital),"09 de julio y Moscón - CIC Nº 1, Mendoza Capital",,
Santa Fe,"Sub-Junta Evaluadora de Personas 1 Arroyo Seco
 (Nodo Rosario)","Sub- de Personas 1 Arroyo Seco
 (Nodo Rosario)",Municipal de Arroyo Seco - 9 de Julio y vías del ferrocarril,Lun a Vie de 8:00 a 13:00 hs,03402-426000
Santa Fe,"Junta Evaluadora de Personas 2 Cañada Gómez
 (Nodo Rosario)","de Personas 2 Cañada Gómez
 (Nodo Rosario)",Hospital San José - JE Hospital Cañada de Gómez - Urquiza 750,Lun 8:00 a 13:00 hs,03471 420025/28
Santa Fe,Sub-Junta Evaluadora de Personas 3 Casilda (Nodo Rosario),Sub- de Personas 3 Casilda (Nodo Rosario),Hospital San Carlos de Casilda - 9 de Julio 2351,Lun a Vie 8:00 a 12:00 hs.,03464-422382 / 422107 - int. 110
Santa Fe,Sub-Junta Evaluadora de Personas 4 Agudo Avila (Nodo Rosario) (en sistema junta Nº 2 Rosario),Sub- de Personas 4 Agudo Avila (Nodo Rosario) (en sistema junta Nº 2 Rosario),"Centro Regional de Salud Mental Dr. Agudo Avila
 (Hosp Pisquitarico) - Suipacha 667","Mar, Mier y Vie de 8:00 a 13:00 hs",0341 - 4721164 / 1165
Santa Fe,Sub-Junta Evaluadora de Personas 5 Cnel Bogado (Nodo Rosario),Sub- de Personas 5 Cnel Bogado (Nodo Rosario),SAMCO de Coronel Bogado - Moreno 698,,03402 - 491200
Santa Fe,Sub-Junta Evaluadora de Personas 6 Inclusion (Nodo Rosario) (en sistema junta Nº 1 Rosario),Sub- de Personas 6 Inclusion (Nodo Rosario) (en sistema junta Nº 1 Rosario),"Direc. Pcial. De Inclusión p/ Personas con Discapacidad (2º Circ.) 
9 de Julio 325","Lunes, Martes, Mier y Jue de 13:00 a 18:00",0341 - 4721164 / 1165 - Turnos 0341 - 4721164 / 65
Santa Fe,Sub-Junta Evaluadora de Personas 7 Firmat (Nodo Rosario),Sub- de Personas 7 Firmat (Nodo Rosario),SAMCO Firmat - Santa Fe 1860,Lu a Vie 8:30 a 13:00 hs,03465 42 3528/ 424241
Santa Fe,Sub-Junta Evaluadora de Personas 8 Eva Perón (Nodo Rosario) (en sistema junta Nº 3 Rosario),Sub- de Personas 8 Eva Perón (Nodo Rosario) (en sistema junta Nº 3 Rosario),"Hospital Escuela Eva Perón de Granadero Baigorria
 (Hospital General) - Av. San Martín 1645",Lu a Vie de 8:00 a 13:00 hs,0341 - 4710962 - Turnos: 0341 - 4721164/65 - lunes a viernes -Tel. 0341 - 4710962
Santa Fe,Sub-Junta Evaluadora de Personas 9  ILAR (Nodo Rosario) (en sistema junta Nº 4 Rosario),Sub- de Personas 9  ILAR (Nodo Rosario) (en sistema junta Nº 4 Rosario),"Instituto lucha Antipoliomielítica de Rehabilitación del Lisiado
 (Disc Motora) - Paraguay y Ocampo",Lun a vie de 8:00 a 13:00 hs,0341 - 4721164 / 1165
Santa Fe,Sub-Junta Evaluadora de Personas 10 Junta Municipal Rosario (Nodo Rosario),Sub- de Personas 10 Junta Municipal Rosario (Nodo Rosario),Corrientes 2452,Martes de 8 a 13 hs,Turnos: 0341 - 4721164 / 65
Santa Fe,Sub-Junta Evaluadora de Personas 11 San lorenzo (Nodo Rosario),Sub- de Personas 11 San lorenzo (Nodo Rosario),Municipalidad de San Lorenzo - Richieri 517,"Mar, Mier y Vie de 14:00 a 18.00 hs",03476 - 422295
Santa Fe,Sub-Junta Evaluadora de Personas 12 San jorge (Nodo Rosario),Sub- de Personas 12 San jorge (Nodo Rosario),Hospital de San Jorge - Urquiza 1648,,03406 - 441666  / 700
Santa Fe,Sub-Junta Evaluadora de Personas 13 Venado Tuerto (Nodo Rosario),Sub- de Personas 13 Venado Tuerto (Nodo Rosario),"SAMCO ""Dr. Alejandro Gutierrez"" Venado Tuerto - Gutierrez 55.",Lu y Jue 8:00 a 13:00 hs,03462 439098/099
Santa Fe,Sub-Junta Evaluadora de Personas 14 Villa Constitución,Sub- de Personas 14 Villa Constitución,SAMCO Villa Constitución - Bolivar 1600 Villa Constitución (2919),Mie 8:00 a 11:00 hs - Lun. 11:00 a 13:00 (turnos programados),03400 474057/ 473474 / 473448
Santa Fe,Sub-Junta Evaluadora de Personas San Javier 15 (NODO STA FE),Sub- de Personas San Javier 15 (NODO STA FE),Madrejón 1320 - San Javier  (3005),Viernes de 6:50 a 12 hs,03405 424247 / 03405 420343
Santa Fe,Sub-Junta  Evaluadora de Personas  16 V G Galvez (Nodo Rosario),Sub-Junta  Evaluadora de Personas  16 V G Galvez (Nodo Rosario),Hospital Dr. Anselmo Gamen -V.G. Gálvez - Balcarce 1355 - 1º Piso,,0341-5186993 / 5187334
Santa Fe,Sub-Junta  Evaluadora de Personas-17  Weelwright (Nodo Rosario),Sub-Junta  Evaluadora de Personas-17  Weelwright (Nodo Rosario),"SAMCO de WHEELWRIGHT
Sede: Servicio para la atencion Medica de la comunidad
San Martin y H. Vila -Wheelwright (2722)",,02473-480849
Santa Fe,Sub-Junta Evaluadora de Personas (II) Sta Fe -18 (Nodo Santa Fe),Sub- de Personas (II) Sta Fe -18 (Nodo Santa Fe),Dirección de Discapacidad 1º Circunscripción,,
Santa Fe,,,Boulevard Zaballa 3361,,Tel. 4572475/76/77 int. 115/116
Santa Fe,Sub-Junta Evaluadora de Personas -19 Hospital Sayago (Nodo Sta Fe),Sub- de Personas -19 Hospital Sayago (Nodo Sta Fe),Blas Parera 8900.,"Ma 7:30 a 10:00 hs, 8 turnos",0342 4579237 int 123
Santa Fe,Sub-Junta Evaluadora de Personas - 20 Vera Candioti (Nodo Sta Fe),Sub- de Personas - 20 Vera Candioti (Nodo Sta Fe),"Hospital de Rehabilitación ""Dr. Carlos Vera Candioti""
Monseñor Zaspe 3738",Viernes 9 a 12 Hs.,Tel. 4573939/40 int. 113
Santa Fe,Sub-Junta  Evaluadora de Personas -21 Santo Tomé (Nodo Santa Fe),Sub-Junta  Evaluadora de Personas -21 Santo Tomé (Nodo Santa Fe),Cordoba 2027,Martes y Jueves 13 a 19 Hs.,Tel. 4746011
Santa Fe,Sub-Junta  Evaluadora de Personas -22 Helvecia (Nodo Santa Fe),Sub-Junta  Evaluadora de Personas -22 Helvecia (Nodo Santa Fe),Velez Sarsfield 830,Lunes 9 a 11 hs.,Tel. 03405-470164 int. 122
Santa Fe,Sub-Junta  Evaluadora de Personas -23 SAMCO Tostado (Nodo Sta Fe),Sub-Junta  Evaluadora de Personas -23 SAMCO Tostado (Nodo Sta Fe),Vuelta de Obligado y Ruta Nro. 2,Lunes 13 a 16:30 hs,(03491) 470373
Santa Fe,"Sub-Junta  Evaluadora de Personas -24 Vera (Nodo Sta Fe)
Hospital Regional Vera","Sub-Junta  Evaluadora de Personas -24 Vera (Nodo Sta Fe)
Hospital Regional Vera",Juan de Garay Nº 2260,Jueves 9 a 13 hs.,Tel. 03483420166
Santa Fe,"Sub-Junta  Evaluadora de Personas -25  Reconquista
 (Nodo Santa FE)","Sub-Junta  Evaluadora de Personas -25  Reconquista
 (Nodo Santa FE)",H. Irigoyen 1540,Lunes y Jueves 8 a 12 hs.,03482 - 429017
Santa Fe,Sub-Junta  Evaluadora de Personas -26 Esperanza (Nodo Santa Fe),Sub-Junta  Evaluadora de Personas -26 Esperanza (Nodo Santa Fe),Janssen 2693,Viernes 12 a 15 hs.,Tel. 03496-420027
Santa Fe,Sub-Junta  Evaluadora de Personas -27 Galvez (Nodo Santa Fe),Sub-Junta  Evaluadora de Personas -27 Galvez (Nodo Santa Fe),Mitre 1551,Martes 8 a 14 hs,
Santa Fe,Sub-Junta  Evaluadora de Personas-28 El Trébol (Nodo Rosario),Sub-Junta  Evaluadora de Personas-28 El Trébol (Nodo Rosario),Bv. America 1091,,03401-422181 / 422362 / 422271 / 422542
Santa Fe,Sub-Junta  Evaluadorade Personas -  San Justo-29 (Nodo Santa Fe),Sub-Junta  Evaluadorade Personas -  San Justo-29 (Nodo Santa Fe),"Servicio para la Atención Médica de la Comunidad de San Justo
Italia 2865",,Tel. 03498-427377
Santa Fe,Sub-Junta  Evaluadorade Personas - Avellaneda 30 (Nodo Santa Fe),Sub-Junta  Evaluadorade Personas - Avellaneda 30 (Nodo Santa Fe),"SAMCo Avellaneda
Calle 16 Nº 344 CP 3561",Miercoles 8 a 11 hs.,Tel: 03482 481952
Santa Fe,"Sub-Junta  Evaluadorade Personas - Rafaela-32
 (Nodo Santa Fe)","Sub-Junta  Evaluadorade Personas - Rafaela-32
 (Nodo Santa Fe)",Lisandro de la Torre 373,Viernes 7:30 a 11:30 hs.,Tel. 03492-421621 int 167
Santa Fe,"Sub-Junta  Evaluadorade Personas - San Cristóbal-33
 (Nodo Santa Fe)","Sub-Junta  Evaluadorade Personas - San Cristóbal-33
 (Nodo Santa Fe)",Cochabamba 1456,Martes y Jueves 8 a 10 hs. y 10 a 12 hs,03408-422033 nt. 141
Santa Fe,Sub-Junta  Evaluadorade Personas - Rufino-34 (Nodo Rosario),Sub-Junta  Evaluadorade Personas - Rufino-34 (Nodo Rosario),Alem Vieyra 1261,,03382-429337
Santa Fe,Sub-Junta  Evaluadorade Personas - Calchaquí-35 (Nodo Santa Fe),Sub-Junta  Evaluadorade Personas - Calchaquí-35 (Nodo Santa Fe),"A. P. Justo y Salta
CIC Calchaqui",Martres 7:30 a 12:30 hs.,Tel. 03483 15464605 - 15464621
Santa Fe,Sub-Junta  Evaluadorade Personas - Barrancas-36 (Nodo Sta Fe),Sub-Junta  Evaluadorade Personas - Barrancas-36 (Nodo Sta Fe),"Dr Agote 132, Barrancas.",Martes desde las 10:30 hs,Tel: 03466 - 420220 - 420217
Santa Fe,Sub-Junta  Evaluadorade Personas - Alassia - (Santa Fe Capital)-37,Sub-Junta  Evaluadorade Personas - Alassia - (Santa Fe Capital)-37,"Hospital de Niños Dr Orlando Alassia
Mendoza 4151, Ciudad de Santa Fe",,0342-4505963
Santa Fe,Sub-Junta  Evaluadorade Personas - Villa Ocampo 38 (Nodo Sta Fe),Sub-Junta  Evaluadorade Personas - Villa Ocampo 38 (Nodo Sta Fe),Dr. Ferrán 2129,Miercoles 8 a 12 hs.,Tel. 03482-466002 int. 111
Santa Fe,Sub-Junta  Evaluadorade Personas - Hospital J M Cullen-39 (Nodo Sta Fe),Sub-Junta  Evaluadorade Personas - Hospital J M Cullen-39 (Nodo Sta Fe),"Av Freyre 2150, Santa Fe Capital.",,Tel. 4573357 int. 117/112 (secretaria)    int. 271 (asistentes Sociales)
Santa Fe,Sub-Junta  Evaluadorade Personas - Hospital  J B Iturraspe-40 (Nodo Sta Fe),Sub-Junta  Evaluadorade Personas - Hospital  J B Iturraspe-40 (Nodo Sta Fe),Bv Pellegrini 3351 - Ciudad de Santa Fe,,Tel. 4572475/76
Santa Fe,Sub-Junta  Evaluadorade Personas - Intiyaco-41 (Nodo Santa Fe),Sub-Junta  Evaluadorade Personas - Intiyaco-41 (Nodo Santa Fe),Estanislao López s/n - Intiyaco,,Tel. 03482-490303
Santa Fe,Sub-Junta  Evaluadorade Personas - Hosp. Niños Munic. Dr. Vilella-42 (Nodo Rosario),Sub-Junta  Evaluadorade Personas - Hosp. Niños Munic. Dr. Vilella-42 (Nodo Rosario),Gral. Virasoro 1855 - Rosario,Miercoles de 8 a 12 hs.,0341-4721164/4721165
Santa Fe,Sub-Junta  Evaluadorade Personas - Colonia Psiquiatrica Oliveros - 43 (Nodo Rosario),Sub-Junta  Evaluadorade Personas - Colonia Psiquiatrica Oliveros - 43 (Nodo Rosario),Ruta 11 - KM 356 Zona Rural,,03476-498039/470239
Santa Fe,"Sub-Junta  Evaluadorade Personas - Elortondo - 44 
(Nodo Rosario)","Sub-Junta  Evaluadorade Personas - Elortondo - 44 
(Nodo Rosario)",25 de Mayo 777,,03462-470130
Santa Fe,"Sub-Junta  Evaluadorade Personas -Villa Cañas - 45
(Nodo Rosario)","Sub-Junta  Evaluadorade Personas -Villa Cañas - 45
(Nodo Rosario)",Municipalidad Villa Cañas (Calle 53 Nro. 454),,Tel. 03462-450201/0541/0551/0416
Santa Fe,Sub-Junta  Evaluadorade Personas -Municipalidad de Perez - 46 (Nodo Rosario),Sub-Junta  Evaluadorade Personas -Municipalidad de Perez - 46 (Nodo Rosario),Desarrollo Social Municipalidad de Perez - Medrano 1169,,Tel. 0341-4951200
Formosa,Junta Central Evaluadora de Personas (Nro de junta 238),Junta Central Evaluadora de Personas (Nro de junta 238),Centro de día - Junín y Yunká,Lu a Vi: 8:00 hs a 12:00 hs,03717-436446
Misiones,Junta Central Evaluadora de Personas,Junta Central Evaluadora de Personas,Tucumán 2171 - Posadas,Lu a Vi 07:00 a 12:30:00 Hs,0376-4444082
Misiones,Junta Evaluadora de El Dorado,de El Dorado,"Servicio de Rehab. SAMIC 
Dr. Prieto S/N - El Dorado -",,Tel. (03751) 421536 int. 191
Misiones,Junta Evaluadora de Personas- 3 Guaraní,de Personas- 3 Guaraní,H. San Vicente. Acc. Social Intendencia. Tupac Amaru s/n,,
Misiones,Junta Evaluadora de Personas- auxiliar,de Personas- auxiliar,"H. Iguazú. Acción Social ¨puerto Esperanza
Victoria Aguirre 131. Intendencia",,
Misiones,Junta Evaluadora de Personas- 4 - Alem,de Personas- 4 - Alem,LN. Alem - H. Alem. Rivadavia 710,,
Misiones,Junta Evaluadora de Personas- 5 - Oberá,de Personas- 5 - Oberá,CIC. Calle Salto 2 hermanas. Villa Schuster,,
Misiones,Junta Evaluadora de Personas- 6 - San Pedro,de Personas- 6 - San Pedro,H. San Pedro. Corrientes y Argentina,,
Misiones,Junta Evaluadora de Personas- 7 - Capital,de Personas- 7 - Capital,"H. Madariaga. Lopez Torres 1177
H. Carrillo. Ruta 12 Itaimbe Mini
H. Pedriático. Mariano Moreno y Lopez Torres
IMFiR Instituto Rehabilitación Municipal.
Blas Prera Bº Yacyreta",,
Misiones,Junta Evaluadora de Personas- 8 - Apóstoles,de Personas- 8 - Apóstoles,Acción Social Intendencia. Expoyerba,,
Misiones,Junta Evaluadora de Personas- 9 - Cainguas,de Personas- 9 - Cainguas,CIC A del Valle. Paraguay y Dr. Errecaborde,,
Misiones,Junta Evaluadora de Personas- 10 - San Javier,de Personas- 10 - San Javier,H. San Javier. La Saga 121,,
Chaco,Junta Central Evaluadora de Personas (Nro. de junta  241),Junta Central Evaluadora de Personas (Nro. de junta  241),"Hospital Julio C Perrando-Sede Central - Resistencia -
Av. 9 de Julio 1100","Lu a Vi: 08 a 12 hs información -
 Evaluación 5 veces por semana",0362-44255050 int.1813
Chaco,Sub-Junta Evaluadora de Personas - Instituto provincial para la inclusion de las personas con discapacidad (IPRODI CH),Sub- de Personas - Instituto provincial para la inclusion de las personas con discapacidad (IPRODI CH),Donovan 53 - Resistencia,,Tel. 0362-4453101
Chaco,"Sub-Junta Evaluadora de Personas - P Roque Saenz Peña
 (Nro. de junta  299)","Sub- de Personas - P Roque Saenz Peña
 (Nro. de junta  299)","Hospital 4 de junio- Presidencia Roque Saenz Peña
AV MALVINAS ARGENTINAS 1350",Lu a Vi: 13 a 17 hs información,(3732) 42-0667
Chaco,"Sub-Junta Evaluadora de Personas - Juan José Castelli
 (Nro. de junta  260)","Sub- de Personas - Juan José Castelli
 (Nro. de junta  260)","Hospital Gral. Guemes- sede Juan José Castelli
AV SAN MARTIN 1050","Lu a Vi: 13 a 17 hs. Información
2 veces por semana evaluación",(3732) 47-1050
Chaco,"Sub-Junta Evaluadora de Personas - Villa Angela
 (Nro. de junta  300)","Sub- de Personas - Villa Angela
 (Nro. de junta  300)","Hospital Salvador Mazza - Villa Angela
Buenos Aires s/n","Martes y jueves a partir de las 8:30 hs -
 4 turnos por día
2 veces por semana evaluación",(3735) 42-0056
Chaco,"Sub-Junta Evaluadora de Personas - Gral. San Martín
 (Nro. de junta  246)","Sub- de Personas - Gral. San Martín
 (Nro. de junta  246)",Hospital Félix Pertile-Gral. San Martín,Jueves 10/12 hs,
Chaco,"Sub-Junta Evaluadora de Personas - Las Breñas
 (Nro. de junta  301)","Sub- de Personas - Las Breñas
 (Nro. de junta  301)",Hospital 9 de Julio - Las Breñas,Mierc. 8/12 hs,03731 460034
"Santiago
del
Estero","Junta  Central Evaluadora de Personas
 (Nro. de junta  116/117)","Junta  Central Evaluadora de Personas
 (Nro. de junta  116/117)","Güemes y Misiones, Santiago del Estero",Lunes a Viernes de 7 a 13 hs.,tel-.0385-4242207
San Juan,"Junta Central Evaluadora de Personas
 (Nro. de junta 261 )","Junta Central Evaluadora de Personas
 (Nro. de junta 261 )",Mendoza 398 Sur - San Juan Capital -,Mañana 7 a 13 hs. Tarde de 14 a 19 hs.,
San Juan,"Junta Evaluadora de Personas Albardón 
 (Nro. de junta 305)","de Personas Albardón 
 (Nro. de junta 305)",Hospital José Giordano - Calle Rawson 1850 - Albardón -,Junta: Martes 8 a 14 hs,(0264) 4912507
San Juan,"Junta Evaluadora de Personas Dto Iglesia 
(Nro. de junta 464)","de Personas Dto Iglesia 
(Nro. de junta 464)",Polideportivo Municipal Calle Peron S/N - Iglesia,Martes 9 a 14,tel: 02647-493008
San Juan,Junta Evaluadora de Personas Rawson,de Personas Rawson,"Sede en el Coloso Dependencias Municipales
Calle Libano y Av. España - Rawson -",Atencion diaria por la mañana,Tel. 0264 4280677 / 78
La Rioja,Junta  Central Evaluadora de Discapacidad San Vicente,Junta  Central Evaluadora de Discapacidad San Vicente,"Zona Sanitaria I.- CPS. San Vicente 
Oyola y Pamplona B° San Vicente - La Rioja Capital",Martes 14:00 a 18:00 Hs,(0380) 4424210
La Rioja,Junta Discapacidad Domiciliaria (Itinerante),Junta Discapacidad Domiciliaria (Itinerante),"Zona Sanitaria I.- CPS Faldeo del VelascoSur
Ortiz de Ocampo 1700 - La Rioja Capital",Jueves 08:00 a 13:00 hs.,03822 468431
La Rioja,Junta Evaluadora Disc. Hosp E. Vera Barros,Disc. Hosp E. Vera Barros,"Hospital Regional Dr. Enrique Vera  Barros
Calle Olta y 26 de Septiembre. La Rioja",Viernes 08:00 a 13:00 hs.,0380 -4453552/4453553/4453554
La Rioja,Junta Evaluadora Discapacidad Aimogasta,Discapacidad Aimogasta,"Zona Sanitaria II. - Hospital San Nicolás
Casimiro Godoy s/n.",Jue 8:00 a 13:00 hs,(03827) 429004
La Rioja,Junta Evaluadora Disc. Hospital Eleazar Herrera,Disc. Hospital Eleazar Herrera,"Zona Sanitaria III.- Hospital Eleazar H Mota
Cabero 500. Chilecito",Ma y Vi  8:00 a 13:00 hs,
La Rioja,"Junta Evaluadora Hosp Zonal "" Dr Neyra"" 
Zona Sanitaria Nº 4","Hosp Zonal "" Dr Neyra"" 
Zona Sanitaria Nº 4","Región Sanitaria IV - Hospital ""Eduardo Neyra""
 - Villa Union - Arenales s/n",Mi 9:00 a 13:00 hs,
La Rioja,Junta Evaluadora Disc. Hospital Chamical,Disc. Hospital Chamical,"Zona Sanitaria V.- Hospital Luis Agote
Constantitno Carver esq. El Chacho",Jueves  8:00 a 13:00 hs,(03826) 42020/2021/2023
La Rioja,Junta Evaluadora Hospital Zonal Chepes,Hospital Zonal Chepes,"Zona Sanitaria VI.- Hospital Luis Pasteur
San Juan s/n",Ma 8:00 a 13:00 hs,(03821) 429105
