Nombre;Origen del financiamiento;Provincia;Localidad;Cantidad total de camas
HOSPITAL MATERNO INFANTIL COMODORO HUGO C. MEISNER;Público;Buenos Aires;Pilar (Presidente Derqui);45
HOSPITAL UNIVERSITARIO AUSTRAL;Privado;Buenos Aires;Pilar (Presidente Derqui);138
COMUNIDAD TERAPEUTICA REVIVIR (A);Privado;Buenos Aires;Pilar (Tortuguitas);22
FUNDACION PROGRAMA SAN IGNACIO (A);Privado;Buenos Aires;Pilar (Villa Rosa);30
VIDA Y FAMILIA (A);Privado;Buenos Aires;Pilar (Villa Rosa);9
CLINICA NUESTRA SEÑORA DE FATIMA;Privado;Buenos Aires;Pilar (Zelaya);51
CLINICA PRIVADA PILAR SA;Privado;Buenos Aires;Pilar (Zelaya);80
CLINICA PRIVADA SAN MARCOS;Privado;Buenos Aires;Pilar (Zelaya);38
HOSPITAL MUNICIPAL JUAN CIRILO SANGUINETTI;Público;Buenos Aires;Pilar (Zelaya);174
CLINICA DEL BOSQUE DE PINAMAR;Privado;Buenos Aires;Pinamar  (Pinamar);23
CLINICA INTEGRAL DE LA VISION;Privado;Buenos Aires;Pinamar  (Pinamar);2
GERIATRICO DEL BUEN AYRE;Privado;Buenos Aires;Pinamar  (Pinamar);20
HOSPITAL COMUNITARIO DE PINAMAR;Público;Buenos Aires;Pinamar  (Pinamar);34
HOSPITAL MUNICIPAL DE PIROVANO;Público;Buenos Aires;Pirovano;16
CASA DE LOS ABUELOS POR LOS DERECHOS DE LA ANCIANIDAD;Público;Buenos Aires;Presidente Perón (Guernica);21
HOSPITAL DRA. CECILIA GRIERSON;Público;Buenos Aires;Presidente Perón (Guernica);107
CLINICA PRIVADA SANATORIO PUNTA ALTA;Privado;Buenos Aires;Punta Alta (Est. Almirante Solier);30
GERIATRICO NONOS;Privado;Buenos Aires;Punta Alta (Est. Almirante Solier);25
HOGAR MUNICIPAL DEL ANCIANO BERNARDINO RIVADAVIA;Público;Buenos Aires;Punta Alta (Est. Almirante Solier);47
HOSPITAL LOCAL GENERAL EVA PERON;Público;Buenos Aires;Punta Alta (Est. Almirante Solier);44
CLINICA PUNTA INDIO SRL;Privado;Buenos Aires;Punta Indio;22
HOGAR GERIATRICO MELVIN JONES;Público;Buenos Aires;Puán;35
HOSPITAL MUNICIPAL GOBERNADOR MARCELINO UGARTE;Público;Buenos Aires;Puán;41
CLINICA PEREZ MILLAN;Privado;Buenos Aires;Pérez Millán;6
CENTRO CETRYC ESTUDIO TRATAMIENTO RESPIRATORIO Y CARDIOVASCULAR SA;Privado;Buenos Aires;Quilmes (Bernal Oeste);0
GERIATRICO EL PORTAL DE LOS ABUELOS;Privado;Buenos Aires;Quilmes (Bernal Oeste);20
GERIATRICO LOS ANTIGUOS;Privado;Buenos Aires;Quilmes (Bernal Oeste);20
HOGAR ANCIANOS LA POSADA DEL SOL;Privado;Buenos Aires;Quilmes (Bernal Oeste);70
HOGAR CENTRO DE DIA VILLA DEL SOL (D);Privado;Buenos Aires;Quilmes (Bernal Oeste);175
HOGAR GERIATRICA STELLA MARIS;Privado;Buenos Aires;Quilmes (Bernal Oeste);16
HOGAR GERIATRICO LOS MIRASOLES;Privado;Buenos Aires;Quilmes (Bernal Oeste);70
HOGAR GERIATRICO MADRE MARIA SARA LORNA;Privado;Buenos Aires;Quilmes (Bernal Oeste);34
HOGAR GERIATRICO SAN SEBASTIAN;Privado;Buenos Aires;Quilmes (Bernal Oeste);29
HOGAR GERIATRICO TU HOGAR;Privado;Buenos Aires;Quilmes (Bernal Oeste);8
INSTITUTO DE ATENCION AL DISCAPACITADO SANTA CLARA DE ASIS (D);Privado;Buenos Aires;Quilmes (Bernal Oeste);48
POLICLINICO CENTRAL DE BERNAL;Privado;Buenos Aires;Quilmes (Bernal Oeste);71
RESIDENCIA EL PORTAL DE LOS ABUELOS SRL;Privado;Buenos Aires;Quilmes (Bernal Oeste);19
RESIDENCIA GERIATRICA MAMINA;Privado;Buenos Aires;Quilmes (Bernal Oeste);0
SANATORIO BERNAL;Privado;Buenos Aires;Quilmes (Bernal Oeste);97
CENTRO DE REHABILITACION INTEGRAL MONOVALENTE CON INTERNACION (D);Privado;Buenos Aires;Quilmes (Bernal);16
HOGAR GERIATRICO MARIA SARA LONA;Privado;Buenos Aires;Quilmes (Bernal);34
HOGAR GERIATRICO SAN GABRIEL;Privado;Buenos Aires;Quilmes (Bernal);9
HOGAR GERIATRICO SAN JOSE;Privado;Buenos Aires;Quilmes (Don Bosco);19
SANATORIO OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VIDRIO Y AFINES;Privado;Buenos Aires;Quilmes (Don Bosco);10
HOGAR DE ABUELOS SAN EXPEDITO;Privado;Buenos Aires;Quilmes (Ezpeleta);12
CLINICA CALCHAQUI 19 DE ENERO;Privado;Buenos Aires;Quilmes (Quilmes Oeste);71
CLINICA CENI SA;Privado;Buenos Aires;Quilmes (Quilmes Oeste);64
CLINICA PRIVADA DE REPOSO ABRINES SA (M);Privado;Buenos Aires;Quilmes (Quilmes Oeste);98
CLINICA PRIVADA GENERAL BELGRANO;Privado;Buenos Aires;Quilmes (Quilmes Oeste);73
CLINICA PRIVADA SANATORIO PERPETUO SOCORRO;Privado;Buenos Aires;Quilmes (Quilmes Oeste);70
CLINICA PRIVADA SANATORIO URQUIZA;Privado;Buenos Aires;Quilmes (Quilmes Oeste);83
COMUNIDAD TERAPEUTICA ASOCIACION REVIVIR (A);Privado;Buenos Aires;Quilmes (Quilmes Oeste);14
HOGAR DE ANCIANOS ELIASEN;Privado;Buenos Aires;Quilmes (Quilmes Oeste);39
HOGAR DE ANCIANOS SANTA ROSA;Privado;Buenos Aires;Quilmes (Quilmes Oeste);30
HOGAR SANTA MARIA (D);Privado;Buenos Aires;Quilmes (Quilmes Oeste);12
LA QUINTA HOGAR INTEGRAL Y CENTRO DE DIA (D);Privado;Buenos Aires;Quilmes (Quilmes Oeste);40
POLICLINICA FELIPE VALLESE;Privado;Buenos Aires;Quilmes (Quilmes Oeste);0
PROGRAMA SUR;Privado;Buenos Aires;Quilmes (Quilmes Oeste);68
SANATORIO ALBERDI;Privado;Buenos Aires;Quilmes (Quilmes Oeste);25
SANATORIO DE LA TRINIDAD QUILMES;Privado;Buenos Aires;Quilmes (Quilmes Oeste);95
SANATORIO MODELO QUILMES;Privado;Buenos Aires;Quilmes (Quilmes Oeste);135
C.I.R.N.O;Privado;Buenos Aires;Quilmes (Quilmes);0
C.R.I.L. CENTRO DE REHABILITACION INTEGRAL LAVALLE (D);Privado;Buenos Aires;Quilmes (Quilmes);0
CENTRO DE DIA SANTA CLARA DE ASIS (D);Privado;Buenos Aires;Quilmes (Quilmes);56
CENTRO DIA CENTRO EDUCATIVO TERAPEUTICO Y HOGAR PARA DISCAPACITADOS (D);Privado;Buenos Aires;Quilmes (Quilmes);56
CLINICA DEL NIÑO QUILMES SA;Privado;Buenos Aires;Quilmes (Quilmes);0
CLINICA GERIATRICA SANTA ISABEL DE HUNGRIA;Privado;Buenos Aires;Quilmes (Quilmes);44
CLINICA MATERNO INFANTIL DE QUILMES;Privado;Buenos Aires;Quilmes (Quilmes);0
CLINICA PRIVADA SANTA LUCIA;Privado;Buenos Aires;Quilmes (Quilmes);4
GENS CENTRO ESPECIALIZADO EN TRATAMIENTO PARA LA MUJER;Privado;Buenos Aires;Quilmes (Quilmes);0
GERIATRICO IRIS;Privado;Buenos Aires;Quilmes (Quilmes);19
GERIATRICO SAN MIGUEL;Privado;Buenos Aires;Quilmes (Quilmes);17
GERIATRICO SAN NICOLAS;Privado;Buenos Aires;Quilmes (Quilmes);21
HOGAR AMOR (D);Privado;Buenos Aires;Quilmes (Quilmes);20
HOGAR ASTRAL COSMO SA;Privado;Buenos Aires;Quilmes (Quilmes);26
HOGAR DE ANCIANOS DULCE HOGAR;Privado;Buenos Aires;Quilmes (Quilmes);10
HOGAR GERIATRICO NUESTRA SEÑORA DEL CARMEN;Privado;Buenos Aires;Quilmes (Quilmes);30
HOGAR GERIATRICO SANTA RITA;Privado;Buenos Aires;Quilmes (Quilmes);22
HOGAR INTEGRAL LA QUINTA (D);Privado;Buenos Aires;Quilmes (Quilmes);11
HOGAR TRANSITORIO DE REHABILITACION Y CENTRO DE DIA (D);Privado;Buenos Aires;Quilmes (Quilmes);11
ONG GRU.P.A.AL  (GRUPO DE PREVENCION Y ASISTENCIA ALTERNATIVO);Privado;Buenos Aires;Quilmes (Quilmes);0
RESIDENCIA GERIATRICA LOS PINOS;Privado;Buenos Aires;Quilmes (Quilmes);20
RESIDENCIA GERIATRICA MODELO;Privado;Buenos Aires;Quilmes (Quilmes);19
RESIDENCIA GERIATRICA SAN AGUSTIN;Privado;Buenos Aires;Quilmes (Quilmes);0
RESIDENCIA GERIATRICA SAN CAYETANO;Privado;Buenos Aires;Quilmes (Quilmes);0
RESIDENCIA GERIATRICA SANTA ELENA;Privado;Buenos Aires;Quilmes (Quilmes);18
RESIDENCIA PARA ANCIANOS LAS PALMERAS;Privado;Buenos Aires;Quilmes (Quilmes);52
CLINICA DE PSICOPATOLOGIA PHSIQUIS SA (M);Privado;Buenos Aires;Quilmes (San Francisco Solano);0
CLINICA PRIVADA DEL NIÑO Y LA FAMILIA SRL;Privado;Buenos Aires;Quilmes (San Francisco Solano);37
HOSPITAL SUBZONAL ESPECIALIZADO MATERNO INFANTIL S.F. SOLANO;Público;Buenos Aires;Quilmes (San Francisco Solano);73
INSTITUTO MEDICO MODELO;Privado;Buenos Aires;Quilmes (San Francisco Solano);47
HOSPITAL ZONAL GENERAL AGUDOS DR. ISIDORO IRIARTE;Público;Buenos Aires;Quilmes (Villa la Florida);197
COMUNIDAD CREANDO LA LIBERTAD (A);Privado;Buenos Aires;Quilmes Oeste;10
CLINICA PRIVADA FRANCESA DE OTORRINOLARINGOLOGIA;Privado;Buenos Aires;Ramallo;2
CLINICA PRIVADA JUAN PABLO II;Privado;Buenos Aires;Ramallo;20
HOSPITAL MUNICIPAL JOSE MARIA GOMENDIO;Público;Buenos Aires;Ramallo;95
GERIATRICO NUESTRO HOGAR;Privado;Buenos Aires;Ranchos;22
HOGAR GERIATRICO NUESTRO HOGAR;Privado;Buenos Aires;Ranchos;7
HOSPITAL LOCAL GENERAL AGUDOS JUAN CAMPOMAR;Público;Buenos Aires;Ranchos;88
HOGAR GERIATRICO;Público;Buenos Aires;Rauch;17
HOSPITAL MUNICIPAL GENERAL EUSTAQUIO DIAZ VELEZ;Público;Buenos Aires;Rauch;70
HOSPITAL LOCAL GENERAL ANGEL ROSSI Y C.Z. DE ROSSI;Público;Buenos Aires;Rawson;31
CLINICA SAN MICHELE SACI NEUROPSICOPATOLOGIA (M);Privado;Buenos Aires;Remedios De Escalada;86
CLINICA SANTA LAURA S.A. (M);Privado;Buenos Aires;Remedios De Escalada;43
GERIATRICO MI HOGAR;Privado;Buenos Aires;Remedios De Escalada;30
HOGAR DE ANCIANOS SAN CARLOS;Privado;Buenos Aires;Remedios De Escalada;12
HOGAR DE ANCIANOS SAN JAVIER;Privado;Buenos Aires;Remedios De Escalada;23
HOGAR GERIATRICO MAITEN;Privado;Buenos Aires;Remedios De Escalada;12
CLINICA PRIVADA DE REPOSO SANTA LAURA;Privado;Buenos Aires;Remedios de Escalada;0
HOSPITAL  MUNICIPAL RIVADAVIA;Público;Buenos Aires;Rivadavia;43
HOSPITAL MUNICIPAL DR. NOE YARCHO;Público;Buenos Aires;Rivera;30
HOSPITAL YARCHO;Privado;Buenos Aires;Rivera;30
CLINICA ROBERTS;Privado;Buenos Aires;Roberts;18
UNIDAD SANITARIA ROBERTS;Público;Buenos Aires;Roberts;34
CLINICA PRIVADA DE DIAGNOSTICO Y TRATAMIENTO DE ROJAS SRL;Privado;Buenos Aires;Rojas;34
CLINICA PRIVADA SANATORIO MODELO SAN FRANCISCO;Privado;Buenos Aires;Rojas;11
GERIATRICO SANTA ISABEL SRL;Privado;Buenos Aires;Rojas;12
HOGAR DE ANCIANOS EL PARAISO;Privado;Buenos Aires;Rojas;10
HOSPITAL SUBZONAL GENERAL S. UNZUE;Público;Buenos Aires;Rojas;128
CLINICA FOFFANI INSTUTO PRIVADO DE MEDICINA;Privado;Buenos Aires;Roque Pérez;16
HOGAR DE ANCIANOS ROQUE PEREZ;Privado;Buenos Aires;Roque Pérez;19
HOGAR DE ANCIANOS SAN JUAN BAUTISTA;Público;Buenos Aires;Roque Pérez;48
HOSPITAL MUNICIPAL DR. RAMON CARRILLO;Público;Buenos Aires;Roque Pérez;46
HOGAR GERIATRICO;Público;Buenos Aires;Saavedra;22
HOSPITAL MUNICIPAL DR. MIGUEL SWARCH;Público;Buenos Aires;Saavedra;15
HOGAR DE ANCIANOS RESIDENCIA INTEGRAL;Privado;Buenos Aires;Saladillo;14
HOSPITAL ZONAL GENERAL DR. ALEJANDRO POSADAS;Público;Buenos Aires;Saladillo;99
SANATORIO CLINICA SALADILLO;Privado;Buenos Aires;Saladillo;34
HOSPITAL SALAZAR;Público;Buenos Aires;Salazar;17
ASILO DE ANCIANOS MUNICIPAL;Público;Buenos Aires;Salliqueló;60
HOSPITAL MUNICIPAL SALLIQUELO;Público;Buenos Aires;Salliqueló;59
CLINICA DE OJOS DE SALTO;Privado;Buenos Aires;Salto;2
CLINICA SALTO S.A.;Privado;Buenos Aires;Salto;46
HOGAR DE ANCIANOS SAN VICENTE DE PAUL;Privado;Buenos Aires;Salto;100
HOSPITAL LOCAL GENERAL DE SALTO;Público;Buenos Aires;Salto;77
HOSPITAL MUNICIPAL JUAN DOMINGO PERON;Público;Buenos Aires;Salto;59
CLINICA PRIVADA SAN FERNANDO SRL;Privado;Buenos Aires;San Andrés de Giles;34
HOGAR GERIATRICO NUESTRA SEÑORA DE LUJAN;Público;Buenos Aires;San Andrés de Giles;74
HOSPITAL MUNICIPAL SAN ANDRES;Público;Buenos Aires;San Andrés de Giles;82
GERIATRICO SAN CAMILO;Privado;Buenos Aires;San Antonio de Areco;12
HOGAR DE ANCIANOS SAN JOSE;Privado;Buenos Aires;San Antonio de Areco;46
HOSPITAL MUNICIPAL EMILIO ZERBONI;Público;Buenos Aires;San Antonio de Areco;69
CASA HOGAR PARA ABUELAS Y ABUELOS;Privado;Buenos Aires;San Carlos de Bolívar (Est. Bolívar);18
CENTRO DE REHABILITACION DE BOLIVAR (CRIB);Público;Buenos Aires;San Carlos de Bolívar (Est. Bolívar);7
CLINICA CENTRAL SRL;Privado;Buenos Aires;San Carlos de Bolívar (Est. Bolívar);36
CLINICA MODELO DE BOLIVAR SA;Privado;Buenos Aires;San Carlos de Bolívar (Est. Bolívar);27
GERIATRICO CASA HOGAR BOLIVAR;Privado;Buenos Aires;San Carlos de Bolívar (Est. Bolívar);0
HOGAR GERIATRICO;Público;Buenos Aires;San Carlos de Bolívar (Est. Bolívar);30
HOGAR Y CENTRO DE DIA ALEGRIAS (D);Privado;Buenos Aires;San Carlos de Bolívar (Est. Bolívar);16
HOSPITAL SUBZONAL DR. MIGUEL L. CAPREDONI;Público;Buenos Aires;San Carlos de Bolívar (Est. Bolívar);104
HOGAR DE ANCIANOS EL RETIRO;Público;Buenos Aires;San Cayetano;34
HOSPITAL MUNICIPAL DR. ALBERTO MENDITEGUY;Público;Buenos Aires;San Cayetano;38
HOSPITAL MUNICIPAL SAN CAYETANO;Público;Buenos Aires;San Cayetano;37
INSTITUTO GERIATRICO ALBERTO M. MENDITEGUY;Público;Buenos Aires;San Cayetano;41
CLINICA MEDICA SANTA BARBARA;Privado;Buenos Aires;San Clemente del Tuyú;21
CLINICA PRIVADA SAN CLEMENTE;Privado;Buenos Aires;San Clemente del Tuyú;29
HOSPITAL LOCAL MATERNO INFANTIL DE SAN CLEMENTE DEL TUYU;Público;Buenos Aires;San Clemente del Tuyú;22
CASA GRUPAL (D);Privado;Buenos Aires;San Fernando (San Fernando);9
CLINICA PRIVADA SAN FERNANDO;Privado;Buenos Aires;San Fernando (San Fernando);30
CLINICA SAN BENITO;Privado;Buenos Aires;San Fernando (San Fernando);38
COMUNIDAD TERAPEUTICA NUEVO SENTIDO (A);Privado;Buenos Aires;San Fernando (San Fernando);12
GERIATRICO EL ANGEL;Privado;Buenos Aires;San Fernando (San Fernando);15
GERIATRICO SAN FERNANDO;Privado;Buenos Aires;San Fernando (San Fernando);12
HOGAR GERIATRICO CASA BLANCA;Privado;Buenos Aires;San Fernando (San Fernando);20
HOGAR GERIATRICO EVIS I;Privado;Buenos Aires;San Fernando (San Fernando);56
HOGAR GERIATRICO EVIS II;Privado;Buenos Aires;San Fernando (San Fernando);51
HOGAR GERIATRICO GREEM SA;Privado;Buenos Aires;San Fernando (San Fernando);38
HOGAR GERIATRICO LA CASONA;Privado;Buenos Aires;San Fernando (San Fernando);15
HOGAR GERIATRICO SAN JOSE;Privado;Buenos Aires;San Fernando (San Fernando);17
HOSPITAL DR. RAMON CARRILLO;Público;Buenos Aires;San Fernando (San Fernando);10
HOSPITAL LOCAL GENERAL AGUDOS BOCA CARABELAS;Público;Buenos Aires;San Fernando (San Fernando);22
HOSPITAL LOCAL GENERAL AGUDOS PARANA MINI Y CANAL 4;Público;Buenos Aires;San Fernando (San Fernando);15
RESIDENCIA AMANECER;Privado;Buenos Aires;San Fernando (San Fernando);19
RESIDENCIA GERIATRICA HOSTAL DE LA COSTA;Privado;Buenos Aires;San Fernando (San Fernando);12
RESIDENCIA GERIATRICA VILLA BORGHESE SRL;Privado;Buenos Aires;San Fernando (San Fernando);50
RESIDENCIA PARA ADULTOS MAYORES ARCO IRIS;Privado;Buenos Aires;San Fernando (San Fernando);41
RESIDENCIA SOFIA DIAZ DE VIVAR;Privado;Buenos Aires;San Fernando (San Fernando);31
SANATORIO SAN PABLO;Privado;Buenos Aires;San Fernando (San Fernando);41
HOGAR GERIATRICO SAN JORGE;Privado;Buenos Aires;San Fernando (Victoria);17
RESIDENCIA DE MARIA;Privado;Buenos Aires;San Fernando (Victoria);36
CLINICA PRIVADA ARANZAZU;Privado;Buenos Aires;San Fernando (Virreyes);20
CLINICA PRIVADA DE LA RIBERA;Privado;Buenos Aires;San Fernando (Virreyes);18
HOGAR DE ANCIANOS EL BUEN PASTOR;Privado;Buenos Aires;San Fernando (Virreyes);12
HOGAR DE ANCIANOS EL BUEN SEÑOR;Privado;Buenos Aires;San Fernando (Virreyes);23
HOSPITAL ZONAL GENERAL AGUDOS PETRONA V. DE CORDERO;Público;Buenos Aires;San Fernando (Virreyes);200
CENTRO DE OJOS SOLANO;Privado;Buenos Aires;San Francisco Solano;2
CLINICA PRIVADA DEL NIÑO;Privado;Buenos Aires;San Francisco Solano;0
CLINICA SOLANO MEDICAL CENTER;Privado;Buenos Aires;San Francisco Solano;21
HOGAR GERIATRICO CASITA FELIZ;Privado;Buenos Aires;San Francisco Solano;17
HOGAR DE ANCIANOS EL TERCER HOGAR;Público;Buenos Aires;San Germán;9
HOGAR GERIATRICO ACASSUSO;Privado;Buenos Aires;San Isidro (Acassuso);16
HOSPITAL MUNICIPAL CIUDAD DE BOULOGNE;Público;Buenos Aires;San Isidro (Boulogne Sur Mer);23
HOSPITAL CENTRAL DE SAN ISIDRO;Público;Buenos Aires;San Isidro (Béccar);136
COMUNIDAD TERAPEUTICA IDENTIDAD PROGRAMA MINNESOTA TRATAMIENTO DE LAS ADICCIONES Y PATOLOGIAS ASOCIADAS (A);Privado;Buenos Aires;San Isidro (Martínez);12
HOGAR GERIATRICO ARAMBURU;Privado;Buenos Aires;San Isidro (Martínez);49
HOGAR GERIATRICO LAS ACACIAS;Privado;Buenos Aires;San Isidro (Martínez);29
HOGAR GERIATRICO RESIDENCIA LAS ACACIAS;Privado;Buenos Aires;San Isidro (Martínez);32
CENTRO DE OJOS SAN ISIDRO;Privado;Buenos Aires;San Isidro (San Isidro);2
GERIATRICO SAN RAMON;Privado;Buenos Aires;San Isidro (San Isidro);0
HOGAR GERIATRICO EL CARMEN;Privado;Buenos Aires;San Isidro (San Isidro);16
HOGAR GERIATRICO HORIZONTE;Privado;Buenos Aires;San Isidro (San Isidro);0
HOGAR GERIATRICO LA TRADICION;Privado;Buenos Aires;San Isidro (San Isidro);16
HOSPITAL MATERNO INFANTIL DE SAN ISIDRO;Público;Buenos Aires;San Isidro (San Isidro);141
HOSPITAL MUNICIPAL MATERNO INFANTIL DR. CARLOS GIANANTONIO;Público;Buenos Aires;San Isidro (San Isidro);133
SANATORIO DE LA TRINIDAD;Privado;Buenos Aires;San Isidro (San Isidro);110
SANATORIO LAS LOMAS;Privado;Buenos Aires;San Isidro (San Isidro);30
SANATORIO SAN LUCAS;Privado;Buenos Aires;San Isidro (San Isidro);72
CLINICA ANGELUS;Privado;Buenos Aires;San Isidro (Villa Adelina);16
CLINICA PRIVADA CENTRO DE SALUD NORTE;Privado;Buenos Aires;San Isidro (Villa Adelina);69
CLINICA PRIVADA SAN IGNACIO;Privado;Buenos Aires;San Isidro (Villa Adelina);51
DR. FROMENT ROBERTO OSVALDO MP 440254;Privado;Buenos Aires;San Isidro (Villa Adelina);110
GERIATRICO CHAMPS ELISES;Privado;Buenos Aires;San Isidro (Villa Adelina);0
HOGAR SAN CARLOS;Privado;Buenos Aires;San Isidro (Villa Adelina);26
HOSPITAL MUNICIPAL DE SAN ISIDRO;Público;Buenos Aires;San Isidro (Villa Adelina);170
NUEVO HOGAR SAN MARINO;Privado;Buenos Aires;San Isidro (Villa Adelina);37
CENTRO DE DIA Y HOGAR HERMANAS MISIONERAS (D);Privado;Buenos Aires;San José;21
GERIATRICO INSTITUTO HERMANAS MISIONERAS;Privado;Buenos Aires;San José;57
GERIATRICO SAN JOSE;Privado;Buenos Aires;San José;22
UNIDAD SANITARIA SAN MANUEL;Público;Buenos Aires;San Manuel;8
CLINICA PRIVADA NUESTRA SEÑORA DEL BUEN AIRE;Privado;Buenos Aires;San Miguel (Bella Vista);50
GERIATRICO SANTA RITA;Privado;Buenos Aires;San Miguel (Bella Vista);40
RESIDENCIA DE REPOSO BELLA VISTA;Privado;Buenos Aires;San Miguel (Bella Vista);34
RESIDENCIA GERIATRICA SAN LUCAS SRL;Privado;Buenos Aires;San Miguel (Bella Vista);98
HOSPITAL MILITAR CAMPO DE MAYO;Público;Buenos Aires;San Miguel (Campo de Mayo);0
COMUNIDAD TERAPEUTICA ACIAR-EL REPARO (A);Privado;Buenos Aires;San Miguel (Muñiz);13
HOGAR DE ANCIANOS SAGRADA FAMILIA;Privado;Buenos Aires;San Miguel (Muñiz);45
CEDIM (D);Privado;Buenos Aires;San Miguel (San Miguel);12
CENTRO DE ATENION AL DISCAPACITADO MENTAL CADMA (D);Privado;Buenos Aires;San Miguel (San Miguel);34
CENTRO HIRSCH (DYG);Privado;Buenos Aires;San Miguel (San Miguel);229
CENTRO PARA MAYORES LA QUINTA;Privado;Buenos Aires;San Miguel (San Miguel);16
CLINICA BESSONE;Privado;Buenos Aires;San Miguel (San Miguel);49
CLINICA DE OJOS DR. NANO;Privado;Buenos Aires;San Miguel (San Miguel);4
CLINICA PRIVADA SANATORIO GENERAL SARMIENTO;Privado;Buenos Aires;San Miguel (San Miguel);93
COMUNIDAD TERAPEUTICA ACIAR-EL REPARO (A);Privado;Buenos Aires;San Miguel (San Miguel);30
FUNDACION MANANTIALES (A);Privado;Buenos Aires;San Miguel (San Miguel);43
GERIATRICO EL PINAR DE GLADYS;Privado;Buenos Aires;San Miguel (San Miguel);40
GERIATRICO LOS GIRASOLES;Privado;Buenos Aires;San Miguel (San Miguel);14
GERIATRICO SAN IGNACIO;Privado;Buenos Aires;San Miguel (San Miguel);40
GRUPO MEDICO TRAUMATOLOGIA Y ORTOPEDIA;Privado;Buenos Aires;San Miguel (San Miguel);0
HOGAR DE ANCIANOS SAN JOSE DE LA MONTAÑA;Privado;Buenos Aires;San Miguel (San Miguel);26
HOGAR DE ANCIANOS STELLA MARIS;Privado;Buenos Aires;San Miguel (San Miguel);17
HOGAR DE REHABILITACION SAN IGNACIO (D);Privado;Buenos Aires;San Miguel (San Miguel);60
HOGAR GERIATRICO BELLO HORIZONTE / DEL SOL;Privado;Buenos Aires;San Miguel (San Miguel);55
HOGAR GERIATRICO MORADA DEL SOL;Privado;Buenos Aires;San Miguel (San Miguel);25
HOGAR GERIATRICO PAESTUM;Privado;Buenos Aires;San Miguel (San Miguel);19
HOGAR GERIATRICO UN LUGAR EN EL MUNDO;Privado;Buenos Aires;San Miguel (San Miguel);26
HOSPITAL MUNICIPAL DR. R. LARCADE;Público;Buenos Aires;San Miguel (San Miguel);251
LA QUINTA;Privado;Buenos Aires;San Miguel (San Miguel);49
RESIDENCIA GERIATRICA MODELOS LOS NOGALES;Privado;Buenos Aires;San Miguel (San Miguel);61
RESIDENCIA GERIATRICA SAGRADA FAMILIA;Privado;Buenos Aires;San Miguel (San Miguel);0
SANATORIO SAN MIGUEL;Privado;Buenos Aires;San Miguel (San Miguel);79
HOSPITAL ZENON VIDELA DORNA;Público;Buenos Aires;San Miguel del Monte (Est. Monte);73
CLINICA ALVEAR SA;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );46
CLINICA PRIVADA DE GARGANTA NARIZ Y OIDOS;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );4
CLINICA PRIVADA DE SALUD MENTAL SANTA ISABEL;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );0
CLINICA PRIVADA PADULO;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );4
CLINICA PRIVADA PSIQUIATRICA PLAZA;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );54
CLINICA SAN NICOLAS;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );46
CLINICA SANATORIO PRIVADO NUESTRA SEÑORA DEL ROSARIO (EX NUESTRA SEÑORA DE LUJAN DE SAN NICOLAS);Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );85
HOGAR DEL CARMEN;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );50
HOGAR GERIATRICO DON EDUARDO;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );12
HOGAR GERIATRICO EL NOGAL;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );24
HOSPITAL ZONAL GENERAL AGUDOS SAN FELIPE DE SAN NICOLAS;Público;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );206
I.A.C.O. (INSTITUTO DE ALTA CPMPLEJIDAD OFTALMOLOGICA);Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );2
RESIDENCIA PARA MAYORES RINCON DE LUZ;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );16
SAN PATRICIO;Privado;Buenos Aires;San Nicolás de los Arroyos  (San Nicolás de los Arroyos );12
ANDAR (D);Privado;Buenos Aires;San Pedro;13
CLINICA SAN MARTIN SA DE SAN PEDRO;Privado;Buenos Aires;San Pedro;37
CLINICA SAN PEDRO SA;Privado;Buenos Aires;San Pedro;30
COMUNIDAD LOS NARANJOS (A);Privado;Buenos Aires;San Pedro;14
COMUNIDAD TERAPEUTICA LOS NARANJOS;Privado;Buenos Aires;San Pedro;26
HOGAR Y CENTRO DE DIA SER MAS (D);Privado;Buenos Aires;San Pedro;51
HOSPITAL SUBZONAL GENERAL DR. EMILIO RUFFA;Público;Buenos Aires;San Pedro;69
MARCEILLAC OFTALMOLOGIA;Privado;Buenos Aires;San Pedro;2
RESIDENCIA PARA ANCIANOS SAN FRANCISCO DE ASIS;Privado;Buenos Aires;San Pedro;7
